ticker,name,sector,year,revenue_bn,rd_bn,net_income_bn,ocf_bn,capex_bn,fcf_bn,rd_intensity,net_margin,fcf_margin,capex_intensity
PFE,Pfizer,Healthcare,2024,63.627,10.822,8.031,12.744,2.909,9.835,0.1700850267968001,0.1262200009429959,0.15457274427522907,0.04571958445314096
SYK,Stryker,Healthcare,2018,13.601,0.862,3.553,2.61,0.572,2.038,0.06337769281670465,0.2612307918535402,0.1498419233879862,0.04205573119623557
SYK,Stryker,Healthcare,2019,14.884,0.971,2.083,2.191,0.649,1.542,0.0652378392905133,0.13994893845740392,0.10360118247782854,0.04360386992743886
SYK,Stryker,Healthcare,2020,14.351,0.984,1.599,3.277,0.487,2.79,0.0685666504076371,0.11142080691241028,0.1944115392655564,0.03393491742735698
SYK,Stryker,Healthcare,2021,17.108,1.235,1.994,3.263,0.525,2.738,0.07218844984802432,0.1165536591068506,0.16004208557400046,0.030687397708674305
SYK,Stryker,Healthcare,2022,18.449,1.454,2.358,2.624,0.588,2.036,0.07881185972139411,0.12781180551791424,0.11035828500189712,0.03187164615968345
SYK,Stryker,Healthcare,2023,20.498,1.388,3.165,3.711,0.575,3.136,0.06771392330959118,0.15440530783491072,0.15299053566201581,0.028051517221192313
SYK,Stryker,Healthcare,2024,22.595,1.466,2.993,4.242,0.755,3.487,0.06488161097587962,0.13246293427749503,0.15432617835804383,0.03341447222836911
AAPL,Apple,Technology,2018,265.595,14.236,59.531,77.434,13.313,64.121,0.05360040663416103,0.22414202074587247,0.24142397258984544,0.05012519060976298
AAPL,Apple,Technology,2019,260.174,16.217,55.256,69.391,10.495,58.896,0.06233136285716482,0.21238094505984456,0.22637158209505945,0.04033838892433525
AAPL,Apple,Technology,2020,274.515,18.752,57.411,80.674,7.309,73.365,0.06830956414039306,0.20913611278072236,0.2672531555652697,0.026625138881299748
AAPL,Apple,Technology,2021,365.817,21.914,94.68,104.038,11.085,92.953,0.059904269074427925,0.2588179335569424,0.2540969938521173,0.030302036264033657
AAPL,Apple,Technology,2022,394.328,26.251,99.803,122.151,10.708,111.443,0.06657148363798665,0.2530964070519973,0.2826149804223895,0.02715505873283155
AAPL,Apple,Technology,2023,383.285,29.915,96.995,110.543,10.959,99.584,0.07804897139204509,0.2530623426432028,0.25981710737440805,0.02859230076835775
AAPL,Apple,Technology,2024,391.035,31.37,93.736,118.254,9.447,108.807,0.08022299794136074,0.23971255769943867,0.27825386474356517,0.02415896275269477
MSFT,Microsoft,Technology,2018,125.843,16.876,39.24,52.185,13.925,38.26,0.13410360528595155,0.3118171054409065,0.30402962421429874,0.11065375110256431
MSFT,Microsoft,Technology,2019,143.015,19.269,44.281,60.675,15.441,45.234,0.1347341187987274,0.3096248645247002,0.3162885012061672,0.10796769569625564
MSFT,Microsoft,Technology,2020,168.088,20.716,61.271,76.74,20.622,56.118,0.12324496692208843,0.36451739564989766,0.33386083480081863,0.12268573604302509
MSFT,Microsoft,Technology,2021,198.27,24.512,72.738,89.035,23.886,65.149,0.12362939426035205,0.3668633681343622,0.3285872799717557,0.12047208352246935
MSFT,Microsoft,Technology,2022,211.915,27.195,72.361,87.582,28.107,59.475,0.12832975485454073,0.3414623787839464,0.2806549795908737,0.13263336715192411
MSFT,Microsoft,Technology,2023,245.122,29.51,88.136,118.548,44.477,74.071,0.12038903076835208,0.35955972944084985,0.3021801388696241,0.18144842160230415
MSFT,Microsoft,Technology,2024,281.724,32.488,101.832,136.162,64.551,71.611,0.11531853871164686,0.3614601524896707,0.2541884965427156,0.22912850875324786
NVDA,Nvidia,Technology,2018,,2.376,4.141,3.743,,,,,,
NVDA,Nvidia,Technology,2019,10.918,2.829,2.796,4.761,,,0.2591133907309031,0.2560908591317091,,
NVDA,Nvidia,Technology,2020,16.675,3.924,4.332,5.822,,,0.2353223388305847,0.25979010494752625,,
NVDA,Nvidia,Technology,2021,26.914,5.268,9.752,9.108,0.976,8.132,0.19573456193802483,0.3623393029649996,0.3021475811845136,0.036263654603552055
NVDA,Nvidia,Technology,2022,26.974,7.339,4.368,5.641,1.833,3.808,0.2720768147104619,0.16193371394676356,0.14117298138948617,0.067954326388374
NVDA,Nvidia,Technology,2023,60.922,8.675,29.76,28.09,1.069,27.021,0.14239519385443683,0.4884934834706674,0.4435343554052723,0.017547027346442992
NVDA,Nvidia,Technology,2024,130.497,12.914,72.88,64.089,3.236,60.853,0.0989601293516326,0.5584802715771244,0.46631723334636044,0.024797504923484832
